Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,0.9999989916732376,0.9999982887641968,0.9999970595932242,0.9999976741613488,0.9808057987185412,0.9011057124877992,0.8954129324308595,0.8981633463588962,0.0097312513707862,0.0094629499106726,4570,4444,469621
RF,0.9999984875098564,0.999978210861936,0.9999955894287428,0.999986899507047,0.9848856844136016,0.8919115014112889,0.9654714899363454,0.91761605546048,0.0087517381037049,0.0063625774826934,4110,2988,469621
ET,0.9999994958366188,0.9999991443820984,0.999998529783643,0.9999988370785302,0.98022022013496,0.8602623211704508,0.9534648460168615,0.8865461773723985,0.0123141852685463,0.0074655945964937,5783,3506,469621
XGB,0.9950239074275364,0.9761526014718508,0.9888643626934772,0.9822581821883551,0.9857246588206234,0.9076889482342764,0.95891552361959,0.92804677025453,0.008021361906729,0.0062539792726475,3767,2937,469621
Cat,0.9922631087520748,0.9505029119747392,0.982323892818247,0.9646749011372604,0.9852945247337748,0.9042580842992884,0.9571009374999748,0.9250005608681364,0.0082321701968182,0.006473305069407,3866,3040,469621
LIGHT,0.9699468208465508,0.9519565476204632,0.8706411656993903,0.8948222873042063,0.9855010742705288,0.9081797021032512,0.9406136499973744,0.9220972630753668,0.0077381548099424,0.0067607709195287,3634,3175,469621
GBoost,0.9835365447868498,0.9040201664354908,0.9614784269242488,0.926797183959564,0.9824262543625604,0.8907269325808139,0.9570315906215996,0.9154549433261594,0.0110621117880162,0.0065116338494232,5195,3058,469621
Adaboost,0.8024697955718322,0.731473462132786,0.7304593239194933,0.6982691952716947,0.7299077341089942,0.6668058045840713,0.8667466319581162,0.6565221892671452,0.0322898677870027,0.237802398104003,15164,111677,469621
MLP,0.9150101538504974,0.7581962543755889,0.8517821955464658,0.7813455859359695,0.9423492561022612,0.7747162663307484,0.8517735484773881,0.7924745458186669,0.0338634771443355,0.0237872667534032,15903,11171,469621
"Voting (Cat, XGB, LIGHT)",0.9938224860901324,0.9718180152808569,0.9858052777960421,0.9785073624306556,0.9860589709574317,0.9076441810384407,0.9589181505763861,0.927948201456957,0.0077445429399451895,0.006196486102623179,3637,2910,469621
Bagging (XGB),0.9942565707613472,0.9685622615838688,0.9873334935129346,0.9773871189404342,0.9859652783840587,0.9046439064937779,0.9665772630366128,0.9280092852051758,0.007925539956688479,0.006109181659252887,3722,2869,469621
"Stacking (Cat, LIGHT, XGB)",0.9773923056601415,0.9347483050406713,0.9659378104795205,0.9485074993822137,0.9841616963466284,0.9015923132397835,0.9517556482527348,0.921663832464795,0.009418233000653718,0.00642007065271783,4423,3015,469621
