Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,0.9999966405049096,0.9999953970852492,0.999995863917657,0.999995630501163,0.9743289701939756,0.966268806304705,0.966874404410188,0.9665710720654852,0.012576880618199,0.0130941491878252,7975,8303,634100
RF,0.9999947741187484,0.9999941366767964,0.9999922693678388,0.9999932030176744,0.981466645639489,0.980584411810383,0.9718465885186028,0.9761044357452128,0.0130216054250118,0.0055117489354991,8257,3495,634100
ET,0.999997013782142,0.999996116002847,0.999996116002847,0.999996116002847,0.9780539347106134,0.9792463056167876,0.965100107500836,0.9718736855855912,0.0172054880933606,0.0047405771960258,10910,3006,634100
XGB,0.9880607277263608,0.9889092694329108,0.9805053020055722,0.9846069137295824,0.9823087841034536,0.9818778587045128,0.9727614743794194,0.9771990099497068,0.0127582400252326,0.0049329758713136,8090,3128,634100
Cat,0.9901499603952856,0.9911347993130312,0.9836015118203576,0.9872883018557396,0.9828386689796562,0.9821921392894992,0.973745701580639,0.9778657457912652,0.0121936603059454,0.0049676707143983,7732,3150,634100
LIGHT,0.9831383208646296,0.9839805531663766,0.9730154798734838,0.9783227819441478,0.981012458602744,0.9811607019674696,0.9703318135982693,0.9755743480809672,0.0141807285917047,0.0048068128055511,8992,3048,634100
GBoost,0.9741595103199956,0.9735389930442148,0.9606800629225364,0.96685896592726,0.9735656836461126,0.9726943970970556,0.959948436968633,0.9660751550571685,0.0188818798296798,0.0075524365242075,11973,4789,634100
Adaboost,0.9680105144730782,0.9660383042294818,0.9525509702972506,0.9590119165585382,0.9679009619933764,0.9664839787948608,0.9519664703891304,0.9588970139129992,0.0226415391894023,0.0094574988172212,14357,5997,634100
MLP,0.962939916550142,0.9612377942903334,0.9449640956848472,0.9526775285552782,0.9603784891972876,0.9571745083043725,0.9421705926735932,0.9493109775879218,0.0267859958997003,0.0128355149030121,16985,8139,634100
"Voting (Cat, XGB, RF)",0.9935400642186151,0.9947967027938371,0.9886114187881734,0.9916510714411539,0.9830783788046049,0.9828734530447978,0.9737488921667532,0.9781906357496362,0.0123687115596909,0.004552909635704147,7843,2887,634100
Bagging (Cat),0.9894552914660613,0.9905242240069821,0.9824588035648645,0.9863996145088538,0.9829033275508595,0.9827098427311662,0.973472993547912,0.9779677773282683,0.012507490932029647,0.004589181517110866,7931,2910,634100
"Stacking (Cat, XGB, RF)",0.9948510138582906,0.9952478562976583,0.9914494293483943,0.9933288824697089,0.9826762340324869,0.9814504080978101,0.9739769058409211,0.9776330604810701,0.011851442990064659,0.005472322977448352,7515,3470,634100
