Feature,Average Importance
Number,121.26834125194443
IAT,89.05292525302836
rst_count,40.322918860886986
Variance,30.589100080848258
fin_count,28.290949347770724
flow_duration,23.251005764887065
Tot size,14.677053800183543
urg_count,12.504157075755854
HTTP,12.43011534735432
Rate,9.714776459339502
Std,9.580635490904942
Duration,8.027408578779347
Min,6.724495428903002
Header_Length,6.364729891928019
Tot sum,5.850654670522769
Weight,5.611305763703749
Max,3.489819205374851
Protocol Type,3.2947305672129192
Magnitue,3.009025033665518
ack_count,1.7212945039923409
AVG,1.7031484298415478
syn_count,1.6015350105877684
Covariance,1.5804446303227202
ack_flag_number,1.0151590641930268
HTTPS,0.7243229796770627
psh_flag_number,0.7178134216102733
Radius,0.3050941822876297
UDP,0.14598235871925644
