Feature,Average Importance
IAT,0.21157012230231212
Min,0.09066976347472741
fin_flag_number,0.08876625702782755
syn_count,0.08714321887017144
UDP,0.07954261170648236
psh_flag_number,0.0458433147961161
urg_count,0.04214877760078176
syn_flag_number,0.040451803121494954
Protocol Type,0.03984451169247683
Tot size,0.022105389118020704
ICMP,0.021370247454484903
Tot sum,0.020363240201029125
Magnitue,0.019396800176345024
Rate,0.018860544425775838
Header_Length,0.01698752421829788
TCP,0.015060226333177792
flow_duration,0.013565259744575812
rst_count,0.01340812777622481
ack_count,0.013181053067589639
ack_flag_number,0.012329751055767757
fin_count,0.01112971513952927
rst_flag_number,0.010637657639948811
Duration,0.010459177736905783
AVG,0.01032767729001063
