Feature,Average Importance
Header_Length,57.37857725219353
IAT,53.609668914309744
flow_duration,42.061418232782756
Rate,37.19247920104427
Tot sum,20.083722344065254
Weight,19.7989572629512
Number,19.509007520203753
Variance,15.400970709553341
syn_count,12.671015537827078
Protocol Type,12.4280419416334
Duration,12.13580776000168
rst_count,8.911174320891865
fin_count,7.714780744315463
psh_flag_number,7.176722075415129
Max,6.90469429128232
AVG,6.1280973516949615
Covariance,5.625639472666061
Tot size,5.010539057919878
Std,5.002587591834601
urg_count,5.002373698500381
Min,4.516003187688676
ack_count,4.508205862891488
HTTP,3.2503680851342542
syn_flag_number,2.890983730846581
UDP,2.561204766754886
HTTPS,2.0035711069993933
Magnitue,1.8533960562930725
Radius,1.7565592926729432
fin_flag_number,1.6279263859766322
TCP,1.00179157775217
ack_flag_number,0.8773449751341006
ICMP,0.7550283670560046
rst_flag_number,0.751692685323021
Srate,0.14964410055609847
