Feature,Average Importance
Number,79.82476700612114
IAT,47.288554237029956
Min,44.94714587407467
fin_count,38.87607493797374
rst_count,33.456116238832045
urg_count,27.066006801875496
Protocol Type,24.94510591279124
Header_Length,15.761415651084956
Tot size,12.380480052341703
Rate,10.000156308625147
flow_duration,9.260458612980102
syn_count,8.129355585837398
Tot sum,6.7784025705003135
UDP,5.001099748383853
Variance,4.409115781579744
Max,3.9204607459484833
DNS,3.51122421677038
AVG,2.9858090207264962
Weight,2.4822328239536597
Std,1.878476731026343
Duration,1.7558195153151541
Covariance,1.2763842560400462
Magnitue,1.122281191490816
HTTP,0.6252345066901943
ack_flag_number,0.2830534156514393
Srate,0.24598878498750076
TCP,0.021860598412381617
HTTPS,0.014277877412808847
