Feature,Average Importance
IAT,71.64239076227214
Header_Length,46.82232466901855
flow_duration,46.386849543399585
Rate,35.4754644499374
urg_count,28.794828908133482
syn_count,24.13452535609789
rst_count,20.292394888051803
Duration,16.883603977964704
ack_count,13.499315319916244
fin_count,11.02996355391878
Tot size,9.998523595918295
Protocol Type,8.594960769480718
Min,6.473817313343428
syn_flag_number,5.709016293859039
HTTPS,5.5757565691175754
Covariance,4.782877623040874
Weight,4.225429390371265
Max,3.9450302678729368
HTTP,3.778412216531237
Number,3.551740367841124
rst_flag_number,3.2582410805702238
Tot sum,2.597137379468407
AVG,2.1661396249301865
TCP,1.5098960333981144
ack_flag_number,1.285562483741928
Variance,1.0901122876775333
Magnitue,0.9573730319711083
DNS,0.8768417075581507
Std,0.7739768915135595
Radius,0.6421294574593641
psh_flag_number,0.6315598952220752
UDP,0.37663613921226974
IPv,0.3765403052365594
Srate,0.10941138501327737
