Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,0.9999846812281412,0.9999865947377524,0.9999718416719674,0.9999792179434476,0.9447116898788942,0.9255241117615032,0.9246602566729804,0.9250910725221062,0.0280104894293471,0.0272778206917586,8449,8228,301637
RF,0.999977611025745,0.999972084810544,0.9999671671001158,0.9999696259262836,0.9610525233973286,0.9329587119299404,0.9601752426944832,0.9455993402956732,0.0092462131635044,0.0297012634391669,2789,8959,301637
ET,0.9999964648988018,0.9999976631036788,0.9999927451416633,0.9999952040936236,0.9534374098668268,0.9139543843796092,0.9586571034346172,0.9337165352734392,0.0068128246866266,0.0397497654465466,2055,11990,301637
XGB,0.9700082014347796,0.9480194477141416,0.969916394685493,0.9583559632321618,0.9627300364345224,0.9369806283523872,0.9607717814433336,0.9481360316970696,0.0096639338012246,0.027606029764253,2915,8327,301637
Cat,0.9724285673884556,0.9515456857479412,0.9731032242460932,0.9617362742076256,0.9630582455070168,0.9380640984287728,0.9605895696684555,0.9486623013117012,0.0099589904421539,0.0269827640508293,3004,8139,301637
LIGHT,0.9621143204592804,0.9352322526802236,0.9607991311585642,0.9471626927524686,0.9598789273199244,0.9319293008180648,0.9579008464867635,0.9440274583003824,0.0102374708673007,0.0298836018127749,3088,9014,301637
GBoost,0.952581330894899,0.9211992204983428,0.9481926361468536,0.933711727525702,0.9524096844883088,0.9205615933558908,0.9483911533602868,0.9334309202210228,0.0130819494955857,0.0345083660161054,3946,10409,301637
Adaboost,0.9496742993429426,0.9138463271206266,0.9474499073597296,0.9291273857851968,0.9497309680178492,0.9131999558856811,0.9483423374986087,0.9291131017528992,0.0117392760171994,0.0385297559649512,3541,11622,301637
MLP,0.9227085474033504,0.8692399662703318,0.915404531535461,0.8891931529545483,0.920099324684969,0.8586274136828885,0.919084037225204,0.8835937812285013,0.016208223792174,0.0636924515228569,4889,19212,301637
"Voting (Cat, XGB, RF)",0.9814041893305931,0.9653676454295596,0.9840563382658848,0.9742817146162362,0.9636317825730928,0.9374984647746588,0.96279335837073,0.9493148953188852,0.0087058285289934,0.0276623888979137,2626,8344,301637
Bagging (Cat),0.9719666474985624,0.9504599979530596,0.972933043856453,0.9610574922965306,0.964022981265561,0.938849416954618,0.962501882102364,0.9499475091820078,0.009100342464618,0.026876676269821,2745,8107,301637
"Stacking (Cat, XGB, RF)",0.9832589390925632,0.9742282168117692,0.980155464574736,0.977147624411842,0.9630748217227992,0.9395176468185504,0.9591817321326692,0.948840055843984,0.0109800853343588,0.0259450929428418,3312,7826,301637
