Feature,Average Importance
flow_duration,240.7905047041773
IAT,238.5777396407278
Rate,212.36414595326463
Duration,165.2867775844448
Header_Length,162.33816619200962
urg_count,142.78744109326882
rst_count,122.10315207650815
Min,120.19985252355222
Tot size,111.40204101193697
Protocol Type,104.37563619018961
Max,91.9059080390705
Covariance,84.81808581730374
Tot sum,73.86928122283408
syn_count,65.71775844003805
Std,65.22763676373944
AVG,55.093022483808234
Magnitue,54.4812778642048
ack_count,35.89887240296013
Variance,26.351418503532468
Radius,23.607304670360147
Number,13.29684107000121
HTTPS,11.075467960855246
HTTP,8.769950996770547
psh_flag_number,8.270685530363524
fin_count,7.888459496505275
TCP,5.659236923530808
ack_flag_number,4.528673452039078
DNS,3.3776338826261365
UDP,1.3913363660627145
IPv,1.375697081396077
Srate,0.2478886830170874
Weight,0.17166443911329343
