Feature,Average Importance
IAT,0.30078405566241656
flow_duration,0.13039762006592392
rst_count,0.0651017735634537
Header_Length,0.06208914641685872
Rate,0.04551515928779806
urg_count,0.04039897772433585
Duration,0.039751570677288246
syn_count,0.035642847151619
Srate,0.02910673617389065
Min,0.02629509960147756
Max,0.021770915652528512
Tot size,0.02141332296106295
Tot sum,0.019551881290622276
Protocol Type,0.018707083071281667
HTTPS,0.01621874551890807
HTTP,0.015471230149663784
Std,0.015330630320386184
Covariance,0.014245278989446337
Variance,0.014079359374467703
AVG,0.01240313518963149
ack_count,0.012330926223541375
Magnitue,0.011642431672829455
Radius,0.01137305519959305
