Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,1.0,1.0,1.0,1.0,0.7324783775723233,0.6785919518736304,0.6793478877368635,0.678919677186623,0.1366935083010239,0.1308281141266527,1375,1316,10059
RF,1.0,1.0,1.0,1.0,0.7652848195645691,0.6615024650662321,0.7552847027947897,0.6913476575618515,0.1263545084004374,0.1083606720349935,1271,1090,10059
ET,1.0,1.0,1.0,1.0,0.6680584551148225,0.5334638251883858,0.6031407391901084,0.5497862172365743,0.1623421811313251,0.1695993637538522,1633,1706,10059
XGB,0.9993809095002252,0.9992583893692992,0.9997457235321312,0.9995016541956192,0.7877522616562282,0.7189573549430273,0.768465699589491,0.7397954110045941,0.1092553931802366,0.1029923451635351,1099,1036,10059
Cat,0.9680886987843312,0.9570499529289456,0.9762339647979178,0.9662803293169524,0.7844716174570037,0.7136437728623567,0.767859510419778,0.7359760197862414,0.1114424893130529,0.1040858932299433,1121,1047,10059
LIGHT,0.9988743809095002,0.9988486592562238,0.9993801444930336,0.9991137697662964,0.7848692712993339,0.7145511949178894,0.7643628039152947,0.7355125394140661,0.1101501143254796,0.1049806143751864,1108,1056,10059
GBoost,0.8397118415128321,0.7884211256528891,0.8767656923767545,0.8246016632008469,0.7641912714981608,0.6879336033995843,0.7831532529789313,0.7235439717761976,0.1238691718858733,0.1119395566159658,1246,1126,10059
Adaboost,0.5991670418730302,0.4881767115439233,0.5176753234095386,0.4945712075220432,0.5892235808728502,0.4875860038381553,0.5004878701673605,0.4865861470432729,0.2172184113728998,0.1935580077542499,2185,1947,10059
MLP,0.5788496172895092,0.4379222757299558,0.4641299775583625,0.4357465675194922,0.536037379461179,0.4006106244001791,0.3953823989426039,0.3920194196249185,0.22537031514067,0.2385923053981509,2267,2400,10059
"Voting (Cat, XGB, LIGHT)",0.9983678523187753,0.9981506242047443,0.9990953447110018,0.9986209694928433,0.7939158962123471,0.7222927326510592,0.7815996439960194,0.7466129886922664,0.10706829704742023,0.09901580674023262,1077,996,10059
Bagging (XGB),0.9932462854570013,0.99122034311805,0.9953600535644959,0.9932738929075479,0.7919276270006959,0.7157607208821537,0.7948714455861733,0.7465237070771975,0.1108460085495576,0.0972263644497465,1115,978,10059
"Stacking (Cat, LIGHT, XGB)",0.9060670868977938,0.8573793160666877,0.8863255289927396,0.8701153985880951,0.7783079829008848,0.7098118058854783,0.755163626605147,0.7284827384095155,0.1127348643006263,0.10895715279848892,1134,1096,10059
