Feature,Average Importance
IAT,0.320271640334099
flow_duration,0.10568471941222495
Header_Length,0.06554565253812505
rst_count,0.05565709612528393
Rate,0.0495620756574431
urg_count,0.04695209757638286
SSH,0.04053842903052673
syn_count,0.04016000382548344
Duration,0.03213270556404153
Min,0.021116504204051874
Protocol Type,0.019566817631276667
Tot sum,0.018874363556951778
ack_count,0.016459686673398293
Srate,0.015961730303619217
Covariance,0.01467295783581703
Tot size,0.01467200262792085
Max,0.014014616530357864
HTTPS,0.01256493496803159
Variance,0.01251712632067699
Std,0.012388929221822473
Weight,0.012122231736730365
AVG,0.01208892404545918
